City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
Cape Town,75,ZA,1541300400,62.6,19.46,-33.93,18.42,77
Qinhuangdao,68,CN,1541304290,50.04,10.58,39.94,119.59,51
Hermanus,36,ZA,1541304064,56.83,5.5,-34.42,19.24,80
Ushuaia,90,AR,1541300400,53.6,16.11,-54.81,-68.31,62
Redlands,5,US,1541300280,80.96,4.7,34.06,-117.19,15
Saint-Pierre,90,FR,1541302200,32,3.36,48.95,4.24,86
East London,0,ZA,1541300400,62.6,12.75,-33.02,27.91,82
Puerto Ayora,8,EC,1541304166,72,12.37,-0.74,-90.35,100
Northam,88,GB,1541299800,55.4,10.29,51.04,-4.21,87
Yar-Sale,0,RU,1541304106,2.02,2.75,66.83,70.83,99
Albany,75,US,1541303460,42.98,11.41,42.65,-73.75,67
Yellowknife,90,CA,1541300400,12.2,5.82,62.45,-114.38,85
Hithadhoo,44,MV,1541303752,78.3,7,-0.6,73.08,100
Atuona,0,PF,1541304293,80.46,13.44,-9.8,-139.03,100
Carnarvon,24,ZA,1541304293,58.36,9.86,-30.97,22.13,56
Mar del Plata,0,AR,1541304056,60.52,19.04,-46.43,-67.52,49
Hobart,75,AU,1541302200,62.6,17.22,-42.88,147.33,45
Bateria,56,PH,1541304294,84.1,12.77,11.14,124.03,95
Oistins,40,BB,1541300400,80.6,14.99,13.07,-59.53,78
Mataura,92,NZ,1541304050,50.98,24.96,-46.19,168.86,73
Rocha,0,UY,1541303767,51.66,3.27,-34.48,-54.34,94
San Cristobal,75,EC,1541300400,57.2,4.7,-0.39,-78.55,76
Katsuura,75,JP,1541300400,62.6,3.36,33.93,134.5,59
Rikitea,68,PF,1541304052,75.33,20.54,-23.12,-134.97,95
Nanortalik,0,GL,1541304295,30.28,28.59,60.14,-45.24,97
Port Alfred,56,ZA,1541304168,71.32,14.83,-33.59,26.89,66
Lewistown,1,US,1541302500,50,12.75,40.39,-90.15,87
Qaanaaq,32,GL,1541304295,3.15,8.41,77.48,-69.36,100
Esperance,20,TT,1541300400,78.8,5.1,10.24,-61.45,83
Codrington,0,AU,1541304003,93.15,2.04,-28.95,153.24,47
Ketchikan,90,US,1541300160,48.92,6.93,55.34,-131.65,96
Enshi,64,CN,1541304296,59.35,3.6,30.29,109.48,59
Mengcheng,92,CN,1541304296,63.36,5.39,33.26,116.57,83
